,ID,Name,Overview,Works,Effects,Use,Dose
0,1,Acarbose,"Obat ini adalah salah satu dari banyak golongan obat untuk pengobatan diabetes melitus (DM) tipe 2. Namun acarbose hanya diberikan pada penderita diabetes mellitus yang sudah tidak bisa diterapi dengan obat antidiabetes yang diminum lainnya.    Baca juga: Gula Darah Stabil, Bolehkah Berhenti Minum Obat Diabetes?","Obat acarbose bekerja dalam tubuh kita dengan cara menghambat perubahan sukrosa menjadi glukosa dan fruktosa. Dengan begitu, kadar gula dalam darah bisa lebih terkontrol.","Obat acarbose sebaiknya diminum bersamaan dengan makanan, biasanya diminum bersamaan dengan suapan pertama saat makan. Meskipun aman namun obat ini sebaiknya digunakan secara hati-hati terutama jika Kamu sedang hamil dan menyusui, memiliki gangguan ginjal dan hati yang cukup parah, atau Kamu tengah demam, terluka, infeksi, atau sudah selesai operasi. Konsultasikan segera ke dokter, ya jika Kamu mengalami efek samping yang tidak biasa.","Obat ini berinteraksi dengan banyak obat-obatan. Di antaranya amilase, protease, lipase, obat golongan antagonis kalsium, aminoglutetimid, okreotid, antihipertensi, antidepresan, estrogen, progesterone, llofibrat, obat golongan diuretik, obat yang mengandung hormon-hormon tiroid, obat golongan steroid, maupun fenitoin.   Penggunaan bersamaan dengan obat-obat tersebut sebaiknya dihindari. Jika Kamu tidak tahu jenis obat yang sedang Kamu minum bersamaan dengan acarbose, maka jangan ragu konsultasikanlah terlebih dahulu dengan dokter atau apoteker. Kamu juga dilarang keras minum alkohol saat mengonsumsi acarbose. Baca juga: Obat-obatan yang dapat Meningkatkan Kadar Gula Darah","Adapun dosis pemberian obat ini adalah: - Dewasa >18 tahun: dosis awal 50 mg sehari, yang kemudian meningkat menjadi 50 mg 3 kali sehari. Kemudian, jika diperlukan, dapat ditingkatkan menjadi 100 mg 3 kali sehari setelah 6 hingga 8 minggu. - Selain itu, obat ini dapat diberikan maksimal 200 mg 3 kali sehari."
1,2,Acetazolamide,"Kamu tahu penyakit mata glukoma kan? Nah obat ini digunakan bersama obat lain untuk mengobati berbagai jenis glukoma, yaitu glukoma sudut terbuka, glukoma sekunder, atau sebelum operasi glukoma dengan sudut tertutup.   Obat ini bekerja dengan mengurangi jumlah cairan yang dapat menumpuk di bola mata dan menyebabkan ketegangan di bola mata, sebagai penyebab glukoma. Tidak hanya di mata, penumpukan cairan di tubuh (bengkak/edema) akibat penyakit gagal jantung kongestif atau pengaruh obat-obatan tertentu juga bisa diterapi dengan acetazolamide.   Kinerja Acetazolamide dapat menurun seiring waktu, sehingga biasanya hanya digunakan dengan durasi singkat. Di luar kerjanya untuk mengurangi cairan tubuh dan mata, rupanya obat ini juga bisa digunakan dengan obat lain untuk mengobati epilepsi (penyakit ayan).   Baca juga: Fakta Gangguan Mata yang Perlu Kamu Ketahui!",Cara kerja obat ini ialah dengan meningkatkan pengeluaran air dari tubuh melalui ginjal sehingga dapat menurunkan tekanan pada bola mata dan mengempiskan badan yang bengkak karena penumpukan cairan. ,"Efek samping yang sering terjadi saat mengonsumsi obat ini di antaranya mual, muntah, diare, gangguan alat pengecap, nafsu makan berkurang, kesemutan, wajah kemerahan, pusing, kelelahan, kesulitan menggerakkan tubuh, depresi, sering haus, sering berkemih, libido menurun.   Ada pula efek samping yang jarang terjadi seperti mengantuk, kebingungan, gangguan pendengaran, demam, peningkatan pengeluaran gula darah melalui urine, kadar asam dalam tubuh menjadi tinggi dan gangguan elektrolit pada penggunaan jangka panjang, kencing berdarah. ","Cara mengonsumsi acetazolamide sebaiknya bersamaan dengan makanan. Kamu harus hati-hati menggunakan acetazolamide jika menderita diabetes mellitus, sudah berusia lanjut, atau tangah hamil dan menyusui. Jika terpaksa menggunakannya, konsultasikan dengan dokter.   Acetazolamide dapat menyebabkan beberapa efek samping seperti mengantuk dan kesemutan sehingga disarankan untuk tidak menyetir atau mengoperasikan mesin saat meminum obat ini. Baca juga: Obat-obatan yang Menyebabkan Kantuk dan Cara Mengatasinya","Untuk terapi glukoma, pemberian obat bisa dengan diminum atau melalui suntikan. Adapun dosisnya adalah 0.25-1 g sehari dalam dosis terbagi. Untuk terapi epilepsi, pemberiannya juga bisa diminum atau melalui suntikan, dengan dosis 0.25-1 g sehari dalam dosis terbagi; untuk anak-anak 8-30 mg/kg sehari, maksimal pemberian obat 750 mg sehari."
2,3,Acetylcysteine,"Saat seseorang kebanyakan minum parasetamol hingga overdosis, obat ini adalah penawarnya. Selain itu digunakan untuk mencegah kerusakan ginjal, sebagai mukolitik atau mengencerkan dahak.   Obat ini juga diberikan pada pasien gangguan bronkopulmonalis akut dan kronis seperti pneumonia, bronkitis, emfisema, tracheobronchitis, bronkitis kronis asma, TBC, bronkiektasis, amiloidosis paru-paru primer, atelektasis (pengerutan jaringan paru) yang disebabkan oleh penyumbatan lendir.   Penderita kista fibrosis paru, umumnya akan memproduksi dahak normal, kental, atau dahak yang mengental sehingga saluran napas menjadi lengket. Dahak perlu dicairkan dengan mukolitik, salah satunya dengan acetylcysteine.   Baca juga: Memilih Obat Batuk, Kenali Dulu Jenis Batuknya!","Selain sebagai mukolitik atau pengencer dahak, acetylcysteine memiliki efek melindungi sel hati dari keracunan akibat parasetamol. ","Obat ini dapat menimbulkan efek samping seperti bronkospasma atau penyempitan saluran udara pada paru-paru, angiedema atau pembengkakkan pada jaringan bawah kulit, wajah kemerahan, gatal-gatal, hipotensi, kulit kemerahan, mual, muntah, demam, pingsan, berkeringat, athralgia (nyeri pada sendi), pandangan kabur, pH darah menjadi asam, gangguan fungsi hati, kebingungan, henti jantung, iritasi mata.  Maka segera konsultasikan dengan dokter jika Kamu mengalami salah satu atau beberapa efek samping tersebut.","Acetylcystein umumnya berbentuk suspensi, yang harus dilarutkan dahulu dengan air sebelum diminum bersamaan dengan makanan. Pasien dengan riwayat penyempitan bronkus paru dan pada pasien yang memiliki sakit lambung sebaiknya hati-hati menggunakan obat ini.   Hati-hati juga penggunaan pada ibu hamil dan menyusui. Obat ini dapat menyebabkan pandangan mata kabur sehingga pasien yang mengkonsumsi obat ini dilarang berkendara atau mengoperasikan mesin. Jangan digunakan pada pasien yang menggunakan lensa kontak. ","Inilah dosis acetylsystein:   Sebagai mukolitik atau pengencer dahak pengobatan endotrakeal atau saluran pernapasan Dewasa 1-2 ml larutan 10% atau 20% setiap jam. anak: sama dengan dosis dewasa.   Sebagai sebagai mukolitik/pengencer dahak untuk inhalasi/respirasi: Dewasa 6-10 ml larutan 10% 3-4 x 1, dapat meningkat menjadi 2-20 ml 2-6 jam sesuai kebutuhan. 3-5 ml larutan 20% 3-4 x 1, dapat meningkat menjadi 1-10 ml 2-6 jam sesuai kebutuhan. anak: sama dengan dosis dewasa.   Untuk keracunan parasetamol (diberikan intravena) Dewasa: dosis awal 150 mg/kg (maks. 16,5g) dalam larutan 200 ml selama 60 menit, kemudian 50mg/kg (maksimal 5.5g) dalam larutan 500 ml selama 4 jam, lalu lanjutkan 100mg/kg (maks. 11g) dalam larutan 1L untuk 16 jam ke depan. Anak-anak 40 kg: sama dengan dosis dewasa.   Untuk mengobati sakit mata yang terkait dengan ketidaknormalan cairan mata: Dewasa: dalam larutan 50% teteskan 1-2 tetes pada mata yang terinfeksi 3-4 kali sehari.   per oral sebagai mukolitik: Dewasa dalam bentuk tablet effervescent atau granul 600 mg sehari dosis tunggal atau dalam 3 dosis terbagi. Anak 7 tahun: sama dengan dosis dewasa. oral dalam keracunan parasetamol: Dewasa dalam larutan 5% dosis awal 140mg/kg kemudian 70mg/kg setiap 4 jam untuk tambahan 17 dosis. Anak: sama seperti dosis dewasa."
3,4,Acrivastine,"Acrivastine adalah obat yang digunakan untuk mengatasi rhinitis akibat perubahan musim. Selain itu, obat ini juga digunakan untuk mengobati idiopati urtikaria kronis (gatal-gatal atau biduran yang belum jelas penyebabnya) . (https://www.mims.com/indonesia/drug/info/acrivastine/?q=acrivastine&mtype=generic)",Acrivastine termasuk obat antihistamin dan antialergi. Obat ini bekerja dengan cara mengatasi reaksi alergi yang muncul dalam tubuh. (https://www.mims.com/indonesia/drug/info/acrivastine/?q=acrivastine&mtype=generic),"Selain memiliki efek yang diinginkan, setiap obat pasti memiliki efek samping yang tidak diinginkan. Untuk acrivastine, efek samping yang umum terjadi adalah mengantuk, gelisah, insomnia, dan mulut kering. Konsultasikan dengan dokter kalau efek samping yang Kamu rasakan mengganggu aktivitas. (https://www.tabletwise.com/medicine/acrivastine/side-effects)","Gunakan acrivastine sesuai dengan instruksi dokter. Jangan menggunakan terlalu banyak atau berhenti menggunakannya, jika tidak memperoleh izin dokter. Pasalnya, penggunaan berlebihan dari obat ini dapat meningkatkan risiko efek samping dan masalah lainnya. Sebaiknya, konsumsi obat ini dengan makanan untuk mencegah nyeri perut. Kalau kondisi Kamu tidak kunjung sembuh atau malah bertambah parah dengan setelah mengonsumsi acrivastine selama 1 minggu, periksakan ke dokter.Jangan berikan acrivastine kepada anak di bawah usia 6 tahun. Obat ini juga tidak direkomendasikan untuk anak di bawah usia 12 tahun. Untuk wanita hamil dan menyusui harus berkonsultasi terlebih dahulu dengan dokter sebelum mengonsumsi obat ini. Untuk penyimpanannya, acrivastina harus disimpan di dalam suhu kamar.(https://www.webmd.com/drugs/2/drug-1886/acrivastine-pseudoephedrine-oral/details)","acrivastine pada setiap pasien bisa berbeda-beda. Ikuti instruksi dokter dan label obat. Informasi berikut menjelaskan tentang dosis rata-rata dari obat ini. Kalau dosis yang sudah diberikan dokter kepada Kamu berbeda, jangan mengubahnya kecuali jika dokter yang memerintahkan. acrivastine yang diberikan tergantung dari kekuatan obat ini. Selain itu, jumlah dosis yang Kamu konsumsi setiap hari, jarak waktu antara konsumsi obat, dan seberapa lama obat harus dikonsumsi, tergantung dari masalah medis yang Kamu alami. dalam bentuk oral untuk orang dewasa adalah 8 miligram hingga 3 kali sehari.(https://www.mims.com/indonesia/drug/info/acrivastine/?q=acrivastine&mtype=generic)"
4,5,Acyclover Topical,"Acyclovir topikal ini sama dengan acyclovir pada umumnya, hanya saja pentuknya salep. Digunakan untuk pengobatan infeksi herpes simpleks (herpes pada alat kelamin), mencegah herpes simpleks berulang, pencegahan herpes simplex pada pasien yang bermasalah dengan sistem imun, pengobatan Varicella Zoster (cacar air), pengobatan Herpes Zoster (cacar ular/cacar api), pengobatan herpes labialis (herpes pada bibir dan mulut) berulang, pengobatan pertama kali genital herpes, pengobatan herpes simplex encephalitis (peradangan otak akibat virus herpes) (https://www.mims.com/indonesia/drug/info/aciclovir)",Aciclovir bekerja dengan cara menghambat sintesis DNA virus dan mencegah virus berkembang biak atau memperbanyak diri. (https://www.mims.com/indonesia/drug/info/aciclovir/),"ketika salep dioleskan pada kulit yang terkena herpes, bisa timbul rasa menyengat pada kulit, rasa terbakar, gatal, kulit kemerahan (https://www.mims.com/indonesia/drug/info/aciclovir/)","Pemakaian salep acyclovir ada tatacaranya. Sebelum mengoleskan salep, cucilah tangan dengan sabun dan air bersih, kemudian bersihkan dan keringkan daerah yang akan diolesi. Jika memungkinkan, gunakan sarung tangan karet sekali pakai untuk mengoleskan obat pada luka untuk mencegah penyebaran infeksi. Oleskan obat secara perlahan-lahan sampai menutupi daerah yang terinfeksi. Setelah mengoleskan salep, cuci tangan kembali dengan sabun dan air. Agar efek obat ini tidak hilang, jangan mandi atau berenang setelah menggunakannya. Hati - hati penggunaan pada ibu hamil dan menyusui. Obat ini hanya untuk bagian luar tubuh dan jangan ditelan.(Sumber: Acyclovir Salep : Kegunaan, Dosis, Efek Samping - Mediskus)","Untuk pengobatan infeksi herpes simplex pada kulit orang dewasa, gunakan salep dengan dosis acyclovir 5%, oleskan 5 atau 6 kali sehari selama 5-10 hari (https://www.mims.com/indonesia/drug/info/aciclovir/)"
5,6,Acyclovir,"Ini adalah obat antivirus untuk mengobati berbagai jenis infeksi herpes. Biasanya herpes simpleks pada pada alat kelamin, atau digunakan untuk mencegah kekambuhan.   Acyclovir juga digunakan untuk pencegahan herpes simplex pada pasien yang bermasalah dengan sistem imunnya. Jika Kamu cacar air (Varicella Zoster) atau cacar ular/cacar api (Herpes Zoster), Kamu akan diberikan obat ini.   Selain itu untuk mengobati herpesherpes labialis (herpes pada bibir dan mulut) yang berulang, pengobatan pertama kali genital herpes, dan pengobatan herpes simplex encephalitis (peradangan otak akibat virus herpes).   Baca juga: Selain Cacar Monyet, Penyakit-penyakit Ini Bisa Ditularkan dari Hewan ke Manusia!",Acyclovir bekerja dengan cara menghambat sintesis DNA virus sehingga virus tidak bisa berkembang biak atau memperbanyak diri. ,"Acyclovir dapat menyebabkan efek samping berupa peningkatan serum bilirubin dan enzim liver, yaitu pigmen berwarna kuning. Selain itu dapat menyebabkan perubahan pada darah, kulit kemerahan, demam, sakit kepala, pusing, gangguan pencernaan, hepatitis, penyakit kuning, angioedema (pembengkakan pada jaringan bawah kulit), gangguan saraf reversibel, rambut rontok, rasa menyengat, terbakar, gatal.   Bahkan kadang ditemukan efek samping fatal seperti gangguan ginjal, trombositopenia purpura (penurunan trombosit darah akibat gangguan autoimun) pada pasien dengan pasien gangguan imunitas, reaksi anafilaksis (alergi berat)   Baca juga: Mengenal Penyakit Autoimun dan Pengobatan Immunoglobulin Intravena","Obat ini dapat diminum sebelum atau sesudah makan, tetapi sebaiknya diminum bersamaan dengan makanan untuk mengurangi ketidaknyamanan pada saluran pencernaan. Hati-hati penggunaan obat Acyclovir pada pasien dengan gangguan saraf, atau saat pasien kekurangan oksigen atau mengalami gangguan elektrolit, pasien gangguan ginjal, serta wanita hamil dan menyusui.","Inilah dosis untuk infeksi herpes simplex: Herpes simplex yang sering kambuh (dewasa) : 800 mg sehari 2-4 kali yang perlahan dapat diturunkan dosisnya menjadi 400-600 mg sehari. Untuk pengobatan infeksi herpes simplex primer (dewasa): 200 mg 5 x 1 Pasien dewasa dengan gangguan imunitas berat : 400 mg 5 x 1 selama 5 hari. Anak-anak usia kurang dari 2 tahun : setengah dosis dewasa Anak usia lebih dari 2 tahun:  Sama dengan dosis dewasa.   Adapun dosis untuk orang dengan gangguan imunitas adalah: Orang dewasa: 200-400 mg 4 x 1 Anak usia kurang dari 2 tahun: setengah dosis dewasa Anak usia di atas 2 tahun  sama dengan dosis dewasa.   Pengobatan Herpes Zoster Dewasa: 800 mg 5 x 1 selama 7-10 hari.   Pengobatan Varicella Zoster Dewasa: 800 mg 4-5 x 1 selama 5-7 hari Anak usia di atas 2 tahun: 20 mg/kg (maksimal 800 mg), 4 x 1 selama 5 hari. "
6,7,Albendazole,"Albendazole adalah obat yang khusus digunakan untuk mengobati penyakit ekinokokus. Apa itu ekinokokus? Ialah sebuah penyakit yang disebabkan oleh cacing pita parasit, yang larvanya berasal dari anjing. Selain itu, obat ini juga digunakan untuk mengobati penyakit sistiserkosis, yaitu infeksi yang disebabkan oleh cacing pita. Larva dari cacing pita tersebut umumnya berasal dari daging babi, dan dapat memengaruhi otak, otot, serta jaringan lain.(https://www.mims.com/indonesia/drug/info/albendazole/)","Albendazole efektif membunuh cacing serta menghancurkan telur dan larvanya. Kemampuan membunuh cacing dari obat ini biasanya disebut efek antelmintik. Cara kerja efek antelmintik tersebut adalah dengan menghambat pengambilan glukosa oleh cacing, sehingga parasit tersebut kekurangan energi dan lama kelamaan akan mati.  ttps://bukusakudokter.org/2012/10/07/albendazole/)","Waspadai jika Kamu mengalami sejumlah gejala efek samping dari obat ini, seperti sakit kepala, peningkatan tekanan di kepala, pusing, demam, vertigo, kebotakan, nyeri perut, mual, dan muntah. Segera hubungi dokter kalau Kamu mengalami gejala efek samping serius, seperti: reaksi hipersensitivitas (seperti kemerahan dan urtikaria), peningkatan enzim hati, hepatitis, gagal hepar akut, sindrom Steven-Johnson, dan gagal ginjal akut. (https://www.mims.com/indonesia/drug/info/albendazole/)","Albendazole harus dikonsumsi bersamaan dengan makanan. Ada beberapa kondisi kesehatan tertentu yang dapat memengaruhi cara kerja obat ini, contohnya seperti pasien yang memiliki cedera pada retina matanya. Untuk wanit hamil dan menyusui, disarankan berkonsultasi terlebih dahulu dengan dokter sebelum mengonsumsi obat ini. Sementara itu, untuk pasien sistiserkosis yang mengonsumsi obat ini, umumnya juga diharuskan menggunakan obat golongan steroid dan antikonvulsan (anti kejang) yang memadai. (https://www.mims.com/indonesia/drug/info/albendazole/)","albendazole untuk pengobatan ekinokokus pada orang dewasa dengan berat badan kurang dari 60 kg adalah 15 mg/kg diminum 2 kali sehari (dosis maksimal 800 mg per hari). Jika orang dewasa memiliki berat badan lebih dari 60 kg, dososnya 400 mg. Untuk orang dewasa, pemberian albendazole disarankan selama 28 hari per satu siklus. Disarankan untuk dikonsumsi sebanyak 3 kali siklus, dengan jeda 14 hari sebelum memulai siklus konsumsi baru. albendazole untuk mengobati sistiserkosis pada orang dewasa dengan berat badan kurang dari 60 kg adalah 15 mg/kg, dan dibagi menjadi 2 dosis selama 6 - 30 hari (dosis maksimal 800 mg per hari). Untuk orang dewasa dengan berat badan lebih dari 60 kg, dosis yang dianjurkan adalah 400 mg selama 8 - 30 hari.Pemberian dosis albendazole untuk anakk-anak sama dengan dosis orang dewasa.(https://www.mims.com/indonesia/drug/info/albendazole/)(https://www.mims.com/indonesia/drug/info/albendazole/)"
7,8,Albumin,"Albumin digunakan sebagai pengobatan untuk Kamu yang mengalami kondisi hipovolemia (kekurangan cairan tubuh), hipoalbuminemia (kekurangan albumin, dan setelah tindakan pengeluaran cairan perut pada pasien ascites (penumpukan cairan di rongga perut sehingga perut membesar). Selain itu, albumin juga digunakan bersamaan dengan obat diuretik untuk menangani kelebihan volume cairan yang ada kaitan dengan Sindrom Distres Pernapasan Dewasa (ARDS). Obat ini dapat digunakan untuk mengobati edema (bengkak) pada pasien nefrosis (kerusakan nefron ginjal) akut yang sulit disembuhkan dengan terapi obat cyclophosphamide dan kortikosteroid. Albumin diindikasikan dalam pengobatan hiperbilirubinemia (kada bilirubin tinggi) pada bayi baru lahir. (https://www.farmasiana.com/human-albumin/human-albumin-20/)","Albumin serum biasanya ditemukan secara alami dalam darah manusia. Albumin sendiri merupakan zat protein yang paling banyak di plasma darah manusia (sekitar 50% dari keseluruhan protein serum) dan berfungsi mengangkut hormon, asam lemak, dan senyawa lainnya, sebagai buffer pH, dan mempertahankan tekanan cairan tubuh. (https://www.farmasiana.com/human-albumin/human-albumin-20/)","Efek samping yang dapat terjadi setelah menggunakan albumin bisa berupa reaksi anafilaksis (alergi obat parah), mual, muntah, meningkatnya jumlah air liur, demam, takikardi (laju detak jantung di atas normal), hipotensi, dan juga menggigil. (BNF 68th)","Untuk Kamu yang memiliki riwayat gangguan sirkulasi jantung harus berhati-hati saat menggunakan obat ini. Pemberian albumin harus pelan-pelan untuk mencegah naiknya tekanan darah dengan cepat dan gagal jantung, dan setelah pemberian lakukan pemantauan fungsi paru-paru dan kardiovaskular. Obat ini dapat mengakibatkan meningkatnya permeabilitas kapiler darah. Oleh karena itu, dokter perlu memantau apakah pasien mengalami dehidrasi setelah menggunakan cairan albumin dengan konsentrasi yang pekat. (BNF 68th)","yang digunakan setiap orang tergantung tingkat keparahan. Oleh karena itu, berkonsultasilah dengan dokter untuk penggunaan obat albumin ini. (ISO vol. 50)"
8,9,Allopurinol,"Allopurinol merupakan obat yang digunakan untuk terapi asam urat. Asam urat dalam istilah medis disebut gout, yang ditandai dengan merah dan pembengkakan di sendi. Asam urat terjadi karena kelebihan asam urat di darah atau disebut hiperurisemia. Beberapa jenis kanker dapat menyebabkan hiperurisemia, dan dapat diobati dengan obat ini. Selain itu digunakan untuk mengobati penyumbatan akibat batu ginjal yang disebabkan kalsium oksalat yang kerap kambuh. (BNF 68th)",Allopurinol dapat menurunkan produksi asam urat dengan cara menurunkan konsentrasi asam urat dalam darah dan urin. Obat ini juga mencegah atau menurunkan endapan asam urat sehingga mencegah terjadinya gout arthritis (peradangan dan pembengkakan sendi) dan urate nephropathy (peradangan pada ginjal akibat penumpukan asam urat). (https://bukusakudokter.org/2012/10/07/allopurinol/),"Efek samping yang sering terjadi saat mengkonsumsi allopurinol dapat berupa minculnya benjolan kecil kemerahan pada kulit disebut malculopapular, gatal-gatal dan kemerahan, demam dan menggigil, pembengkakkan pada kalenjar limfa (limadenopati), penurunan jumlah sel darah putih (leukopenia), peningkatan eosinofil darah (eosinofillia), arthralgia (nyeri sendi atau terasa kaku), dan vaskulitis (radang pembuluh darah). Sedangkan, efek samping yang jarang terjadi adalah paraesthesia (kesemutan), peripheral neuropathy (kerusakan sistem saraf tepi), kebotakan, gynaecomastia (pembesaran payudara pada pria), gangguan alat pengecap, mual, muntah, nyeri perut, diare, sakit kepala, kelelahan otot, ngantuk, vertigo and gangguan penglihatan. Efek samping yang sangat jarang terjadi adalah kejang. Efek samping paling fatal yang dapat terjadi adalah reaksi hipersensitif contohnya kulit merah terkelupas, Steven-Johnson syndrome, hepatotoksik, supresi sumsum tulang belakang dan granulositopenia (rendahnya granulosit darah)(https://www.mims.com/indonesia/drug/info/allopurinol/)","Obat ini tidak disarankan untuk pengobatan serangan asam urat akut atau mendadak, atau jika Kamu yang memiliki gangguan ginjal dan hati. Diskusikanlah dengan dokter apabila Kamu hamil dan lagi menyusui saat ingin minum obat allopurinol ini. Allopurinol dapat menyebabkan ngantuk, vertigo atau ataxia (gangguan koordinasi otot tubuh), jika hal tersebut terjadi saat meminum allopurinol maka jangan mengendarai kendaraan atau mengoperasikan mesin. (https://www.mims.com/indonesia/drug/info/allopurinol/)","allopurinol untuk pengobatan kanker yang memicu hiperurisemia pada orang dewasa adalah 200 hingga 400 mg/m2 sehari dalam satu kali pemberian infus atau dibagi menjadi beberapa kali pemberian infus dengan jeda 6, 8, dan 12 jam, mulai dari hari pertama dan kedua sebelum pengobatan kanker. Obat ini diberikan maksimal 600 mg/hari. Sedangkan untuk pengobatan asam urat dan hiperurisemia, diberikan dosis awal 100 mg sehari, kemudian disesuaikan dengan konsentrasi serum asam urat. untuk maintenance-nya atau asam urat yang tidak terlalu berat adalah 100-300 mg sehari, jika sakitnya agak berat ditingkatkan menjadi 600 mg sehari, sampai maksimal 900mg/hari. Pada pasien anak <15 tahun dosisnya adalah 10-20mg/kg sehari sampai maksimal 400 mg/hari. Untuk terapi batu kalsium oksalat kambuhan pada orang dewasa, dosisnya 200-300 mg sehari terbagi dalam beberapa dosis dan bisa juga dosis tunggal. (https://www.mims.com/indonesia/drug/info/allopurinol/)"
9,10,Allylestrenol,"Allylestrenol digunakan untuk Kamu yang berisiko tinggi mengalami keguguran saat hamil, keguguran berulang, risiko persalinan prematur serta mempersiapkan rahim sebelum terjadi pembuahan dan merangsang jaringan alveolar payudara untuk persiapan menyusui (ISO vol. 50)",Struktur senyawa allylestrenol bentuknya mirip dengan progesteron alami. Progesteron memiliki fungsi untuk mempersiapkan uterus menerima sel telur yang sudah dibuahi dan mengurangii pergerakan otot rahim (https://www.mims.com/indonesia/drug/info/allylestrenol/),"Efek samping yang umumnya terjadi saat menggunakan obat ini adalah gangguan pencernaan, perubahan berat badan atau perubahan nafsu makan, retensi cairan sehingga menyebabkan bengkak, timbul jerawat, kulit kemerahan, urtikaria atau biduran, depresi, sakit kepala, demam, kelelahan, perubahan payudara, hirsutisme (tumbuh banyak rambut di tubuh), perubahan libido, siklus menstruasi tidak teratur, atau bisa juga berhenti menstruasi (namun kejadian ini jarang terjadi). (https://www.mims.com/indonesia/drug/info/allylestrenol/)","Segera hentikan pemakaian obat ini jika terjadi kehilangan penglihatan sebagian atau kehilangan penglihatan total, muncul tonjolan pada bola mata atau penglihatan berbayang, migrain, epilepsi, asma, gangguan jantung dan ginjal. Kamu yang memiliki riwayat depresi atau riwayat diabetes sebaiknya tidak menggunakan obat ini. Ketergantungan tiba-tiba pada obat Allylestrenol ini harus dihindari karena dapat menyebabkan pendarahan vagina. Selain itu, jangan digunakan untuk ibu menyusui. (https://www.mims.com/indonesia/drug/info/allylestrenol/)",Allylestrenol untuk dewasa adalah 5 mg diberikan 3 kali sehari selama 5 hingga 7 hari. (https://www.mims.com/indonesia/drug/info/allylestrenol/)
