,stopwords
0,obat salah golongan obat pengobatan diabetes melitus dm tipe 2 acarbose penderita diabetes mellitus diterapi obat antidiabetes diminum baca juga: gula darah stabil berhenti minum obat diabetes
1,penyakit mata glukoma obat obat mengobati jenis glukoma glukoma sudut terbuka glukoma sekunder operasi glukoma sudut tertutup obat mengurangi cairan menumpuk bola mata menyebabkan ketegangan bola mata penyebab glukoma mata penumpukan cairan tubuh bengkakedema akibat penyakit gagal jantung kongestif pengaruh obat-obatan diterapi acetazolamide kinerja acetazolamide menurun seiring durasi singkat kerjanya mengurangi cairan tubuh mata obat obat mengobati epilepsi penyakit ayan baca juga: fakta gangguan mata ketahui!
2,kebanyakan minum parasetamol overdosis obat penawarnya mencegah kerusakan ginjal mukolitik mengencerkan dahak obat pasien gangguan bronkopulmonalis akut kronis pneumonia bronkitis emfisema tracheobronchitis bronkitis kronis asma tbc bronkiektasis amiloidosis paru-paru primer atelektasis pengerutan jaringan paru disebabkan penyumbatan lendir penderita kista fibrosis paru memproduksi dahak normal kental dahak mengental saluran napas lengket dahak dicairkan mukolitik salah satunya acetylcysteine baca juga: memilih obat batuk kenali jenis batuknya!
3,acrivastine obat mengatasi rhinitis akibat perubahan musim obat mengobati idiopati urtikaria kronis gatal-gatal biduran penyebabnya
4,acyclovir topikal acyclovir pentuknya salep pengobatan infeksi herpes simpleks herpes alat kelamin mencegah herpes simpleks berulang pencegahan herpes simplex pasien bermasalah sistem imun pengobatan varicella zoster cacar air pengobatan herpes zoster cacar ularcacar api pengobatan herpes labialis herpes bibir mulut berulang pengobatan kali genital herpes pengobatan herpes simplex encephalitis peradangan otak akibat virus herpes
5,obat antivirus mengobati jenis infeksi herpes herpes simpleks alat kelamin mencegah kekambuhan acyclovir pencegahan herpes simplex pasien bermasalah sistem imunnya cacar air varicella zoster cacar ularcacar api herpes zoster obat mengobati herpesherpes labialis herpes bibir mulut berulang pengobatan kali genital herpes pengobatan herpes simplex encephalitis peradangan otak akibat virus herpes baca juga: cacar monyet penyakit-penyakit ditularkan hewan manusia!
6,albendazole obat khusus mengobati penyakit ekinokokus ekinokokus penyakit disebabkan cacing pita parasit larvanya berasal anjing obat mengobati penyakit sistiserkosis infeksi disebabkan cacing pita larva cacing pita berasal daging babi memengaruhi otak otot jaringan
7,albumin pengobatan mengalami kondisi hipovolemia kekurangan cairan tubuh hipoalbuminemia kekurangan albumin tindakan pengeluaran cairan perut pasien ascites penumpukan cairan rongga perut perut membesar albumin bersamaan obat diuretik menangani kelebihan volume cairan kaitan sindrom distres pernapasan dewasa ards obat mengobati edema bengkak pasien nefrosis kerusakan nefron ginjal akut sulit disembuhkan terapi obat cyclophosphamide kortikosteroid albumin diindikasikan pengobatan hiperbilirubinemia kada bilirubin bayi lahir
8,allopurinol obat terapi asam urat asam urat istilah medis gout ditandai merah pembengkakan sendi asam urat kelebihan asam urat darah hiperurisemia jenis kanker menyebabkan hiperurisemia diobati obat mengobati penyumbatan akibat batu ginjal disebabkan kalsium oksalat kerap kambuh bnf 68th
9,allylestrenol berisiko mengalami keguguran hamil keguguran berulang risiko persalinan prematur rahim pembuahan merangsang jaringan alveolar payudara persiapan menyusui iso vol 50
10,alpha-lipoic acid ala obat efektif perawatan kulit manfaatnya mencegah penuaan kulit memperbaiki elastisitas kulit mengurangi kerutan kulit kasar akibat penuaan kulit perawatan kulit obat menurunkan komplikasi orang mengalami operasi bypass jantung menstabilkan kadar gula darah penderita diabetes melitus tipe 2 mengurangi gejala terbakar nyeri mati pergelangan kaki lengan penderita diabetes membantu menurunkan berat badan
11,alprazolam terapi gangguan kecemasan jangka pendek terapi mengalami gangguan serangan panik
12,aluminium hidroksida obat sakit lambung maag golongan antasida menetralkan asam lambung berlebih mengobati luka tukak lambung gastritis iritasi lambung sakit maag aluminium hidroksida mengobati hiperfosfatemia kelebihan kadar fosfat darah kondisi dilamai pasien gagal ginjal kronis pelindung kulit
13,ambroxol pengobatan pasien penyakit-penyakit saluran pernapasan dimana produksi lendir dahak penyakit emfisema radang paru kronis bronkiektasis perburukan gejala bronkitis kronis akut bronkitis asmatik asma bronkial radang rinofaringeal obat mengurangi sakit tenggorokan memiliki efek antiinflamasi
14,amikacin antibiotik infeksi serius disebabkan bakteri contoh infeksi serius diatasi obat septikemia sepsis infeksi bakteri menyebar darah infeksi diobati amikacin meningitis atauinfeksi sistem saraf pusat infeksi saluran pernapasan serius ispa infeksi tulang sendi kulit jaringan lunak infeksi rongga perut infeksi akibat luka bakar pasca operasi amikacin kadang pasien menjalani bedah vaskular bedah sistem peredaran darah obat infeksi saluran kemih kambuh mengalami komplikasi
15,amineptine obat mengatasi depresi gangguan psikologis
16,aminofilin obat mengobati penyempitan saluran udara paru-paru istilah medis bronkospasma akut kronis
17,amiodarone obat mengobati supraventikular kondisi peningkatan kecepatan denyut jantung obat mengobati gangguan irama jantung penyebabnya berasal bilik jantung ventrikel ventrikular aritmia obat orang-orang mengalami henti jantung pulseless ventrikular takikardi
18,kegunaan obat mengatasi depresi kebiasaan ngompol malam
19,salah obat mengobati darah mengobati serangan jantung prinzmetal angina stable angina
20,obat mengobati batuk gangguan pernafasan mencairkan lendir saluran pernafasan mengurangi reflek batuk menghilangkan gatal tenggorokan iso vol 50 amonium klorida sebagain agen pengasam kondisi dimana darah pasien basa ph nya
21,amoxapine obat mengobati gejala depresi kecemasan agitasi resah gelisah mengobati depresi meningkatkan mood kebahagiaan kualitas hidup penderitanya
22,amoxicillin antibiotik mengobati infeksi bakteri peka amoxicillin h influenzae n gonorrhoea e coli pneumococci streptococci staphylococci infeksi bakteri diobati amoxicillin infeksi gusi saluran napas amoxicillin salah antibiotik bemanfaat bijaksana infeksi diatasi amoxicillin infeksi gusi bernanah infeksi saluran kemih gonorrhoea infeksi bakteri h pylori infeksi saluran pernapasan berat kambuhan actinomycosis penyakit kulit akibat infeksi jamur infeksi saluran empedu bronkitis infeksi cabang tenggorokan endokarditis infeksi lapisan jantung gastroenteritis infeksi lambung infeksi mulut otitis media infeksi telingan pneumonia demam tifoid faringitis radang tenggorokan infeksi amandel
23,amphotericin b mengobati infeksi jamur kandidiasis oral infeksi jamur candida albicans rongga mulut infeksi jamur tubuh infeksi jamur aspergillosis endocarditis peradangan jaringan jantung meningitis parah candiduria infeksi jamur saluran kemih
24,ampicillin antibiotik mengobati infeksi bakteri infeksi saluran pernapasan demam tifoid paratifoid gonorrhoea pencegahan infeksi bakteri streptokokus melahirkan meningitis sepsis infeksi bakteri darah
25,anidulafungin obat mengatasi infeksi jamur candida jamur darah perut esofagus
26,apixaban obat menurunkan risiko stroke akibat penggumpalan darah penderita gangguan ritme jantung atrial fibrillation obat operasi penggantian panggul lutut mencegah penggumpalan darah deep vein thrombosisdvt paru-paru pulmonary embolismpe
27,arginine suplemen kesehatan mengobati nyeri dada gangguan ereksi impotensi pria peradangan saluran cerna bayi prematur toleransi nitrat efek terapi obat golongan nitrat berkurang penggunaan obat nitrat jangka nyeri kaki akibat aliran darah danbisa mempercepat pemyembuhan operasi pilihan obat menurunkan tekanan darah hamil pre-eklamsia
28,aripiprazole obat pasien gangguan mental gangguan perubahan mood dimana mood contohnya bipolar disorder schizophrenia tourette's disorder obat dikombinasi obat terapi depresi
29,bacitracin dijual pasaran memiliki jenis bentuk oles cairan injeksi menyesuaikan kebutuhan pasien mencegah infeksi kulit terluka tergores terbakar obat bentuk oles mengobati penyakit disebabkan bakteri staphylococcus pneumonia bacitracin bentuk cairan diinjeksi tubuh bacitracin ophthalmic berbentuk salep mengobati infeksi mata
30,baclofen mengobati kejang nyeri kaku otot disebabkan penyakit multiple sklerosis penyakit autoimun menyerang sistem saraf pusat otak saraf tulang saraf mata
31,bambuterol obat mengobati asma penyumbatan saluran napas reversibel menetap
32,benazepril obat mengatasi tekanan darah hipertensi menurunkan tekanan darah membantu mencegah stroke serangan jantung ginjal
33,benzoyl peroxide obat jerawat mengobati decubitus stasis ulser jaringan mati daerah kulit tekanan terus-menerus akibat duduk koma imobilitas
34,betametason mengobati kesehatan gejala alergi asma gangguan kalenjar adrenal darah kulit kemerahan bengkak-bengkak tubuh
35,biotin mencegah kekurangan biotin kekurangan biotin disebabkan kekurangan nutrisi penurunan berat badan cepat penggunaan tube-feeding jangka kondisi medis mencegah kekurangan biotin obat memelihara kesehatan rambut kuku
36,bisacodyl mengobati konstipasi mengosongkan usus operasi kolonoskopi x-rays prosedur medis berhubungan usus
37,boron kondisi kekurangan boron mengurangi nyeri haid membangun tulang kuat mengobati peradangan tulang suplemen tambahan membentuk otot meningkatkan kadar testosteron membantu meningkatkan kemampuan berpikir koordinasi otot
38,botulinum toxin botox mengobati penyakit strabismus mata juling blefarospasme berkedip disebabkan kondisi distonia distonia kontraksi otot sadar menyebabkan gerakan berulang memutar botox mengobati glabellar lines garis kerut keriput
39,kegunaan bromelain untuk:1 mengurangi pembengkakan hidung sinus operasi terluka2 mengobati hay fever alergi serbuk bunga3 mengobati kondisi usus meradang luka 4 membuang jaringan rusak mati pembersihan luka5 mencegah penumpukan air paru-paru6 melemaskan otot7 menstimulasi kontraksi otot8 meningkatkan absorpsi antibiotik9 mencegah kanker10 mempercepat proses kelahiran11 membantu tubuh membuang lemak
40,batuk berdahak salah obat dianjurkan dokter apoteker bromhexine obat mukolitik alias mengencerkan dahak
41,bromokriptin obat terapi penyakit-penyakit akibat ketidakseimbangan hormon prolaktin darah hiperprolaktinemia gejala hiperprolaktinemia perkembangan seksual sempurna orang dewasa wanita jarang haid kehilangan gairah seks wajah memerah subur produksi asi terduga menyebabkan asi merembes payudara pria gejalanya pembesaran payudara turunnya gairah seks rambut tubuh tumbuh kehilangan massa otot bromokriptin terapi tumor otak menyebabkan produksi prolaktin mengontrol gula darah pasien diabetes melitus tipe 2
42,brompheniramine obat mengatasi hidung berair bersin gatal mata berair akibat alergi pilek flu
43,budesonide obat mengobati penyakit usus crohn's disease radang usus kronis koalitis ulseratif radang kronis usus
